Gender,Business,Dependancies,Calls,Type,Billing,Rating,Age,Salary,Base_pay,Bonus,Unit_Price,Volume,openingbalance,closingbalance,low,Unit_Sales,Total_Sales,Months,Education
Male,0,No,Yes,Month-to-month,Yes,No,34,9708.730962,3883.492385,485.4365481,15.42,6516000,10.7650005,8.56,5.93320275,19.05,19.55,1,High School or less
Female,0,Yes,Yes,Month-to-month,No,No,35,9891.952741,3956.781096,494.5976371,15.300001,7407200,11,9.02750025,5.897839293,19.1,19.55,1,High School or less
Female,0,No,Yes,Month-to-month,Yes,Yes,35,10014.52609,4005.810434,500.7263045,24.440001,1902800,11.1,8.84,5.9775,19.1,19.55,1,High School or less
Male,0,No,Yes,Month-to-month,Yes,Yes,35,10253.67536,4101.470143,512.683768,24.190001,4270000,11.12,8.98,5.88250025,19.1,19.55,1,High School or less
Male,0,No,Yes,Month-to-month,Yes,Yes,35,10507.22177,4202.888708,525.3610885,15.52,6572700,11.13,9.14,5.984282515,19.1,19.6,1,High School or less
Male,0,Yes,Yes,One year,Yes,No,35,10574.4,4229.76,528.72,15.480001,5240200,11.255,8.96,5.937131631,19.1,19.6,1,High School or less
Female,0,No,Yes,One year,No,No,36,10645.27917,4258.111669,532.2639585,6.48,25554700,11.43,9.14,6.04,19.1,19.65,1,Intermediate
Male,0,No,Yes,Month-to-month,No,No,36,10687.6603,4275.064119,534.383015,24.879999,3658400,11.45,9.525349777,6.07000025,19.1,19.65,1,Intermediate
Male,0,Yes,Yes,Two year,No,No,36,14255.38723,5702.154893,712.7693615,15.52,7382800,11.69,9.5225,5.972495088,19.15,NA,1,Intermediate
Female,0,No,No,One year,Yes,No,36,14418.35887,5767.343547,720.9179435,24.450001,3633600,11.8141027,9.54,5.8975,19.15,19.65,1,Intermediate
Male,0,Yes,Yes,Two year,Yes,No,36,14524,5809.6,726.2,15.57,3255300,12.05,9.63500025,6.070726916,19.15,19.7,1,Intermediate
Female,0,Yes,Yes,Two year,Yes,No,36,14738.31191,5895.324765,736.9155955,24.540001,1762000,12.21730919,9.6875,5.955,19.15,19.75,1,Intermediate
Male,0,No,Yes,One year,No,No,36,15033.82553,6013.53021,751.6912765,15.63,8784300,12.95,9.76010101,6.019646365,19.15,19.75,1,Graduation
Female,0,Yes,Yes,One year,No,No,36,15549.47511,6219.790044,777.4737555,24.809999,2953600,13.29,9.93,6.05249975,19.15,19.75,1,Graduation
Female,0,No,Yes,Two year,Yes,No,36,15569.35623,6227.742491,778.4678115,15.690001,6905600,13.30249975,11.08,6.062868762,19.2,19.75,1,Graduation
Female,0,No,Yes,Month-to-month,Yes,Yes,37,15799.10909,6319.643638,789.9554545,6.29,25980300,13.3325005,11.21,6.07,19.2,19.75,1,Graduation
Female,1,No,Yes,Month-to-month,Yes,Yes,37,16257,6502.8,812.85,6.2,11785800,13.35999975,10.7,6.06,19.2,19.75,1,Graduation
Male,0,Yes,Yes,Month-to-month,Yes,No,37,16574.12,6629.648,828.706,25.07,2300400,13.4797891,10.505,6.1275,19.2,19.8,1,Graduation
Male,0,No,Yes,Two year,No,No,37,17370.94325,6948.377299,868.5471625,25.1,3284000,13.59,10.9,6.0875,19.2,19.8,1,Graduation
Female,0,No,Yes,One year,Yes,No,37,17555.30903,7022.123611,877.7654515,6.48,41055600,13.81,11.09,6.08,19.2,19.85,1,Graduation
Female,0,No,Yes,One year,Yes,No,37,18102.84919,7241.139677,905.1424595,24.92,1973200,13.9449995,11.0200005,6.15250025,19.2,19.85,1,Graduation
Female,0,No,Yes,Month-to-month,Yes,Yes,37,18245.34783,7298.13913,912.2673915,25.459999,2662800,14.15193993,10.99,6.1475,19.2,19.85,1,Graduation
Female,0,No,No,Month-to-month,Yes,Yes,37,18596,7438.4,929.8,6.35,32974200,14.64663958,11.03,6.2,19.2,19.85,1,Graduation
Female,0,No,Yes,Month-to-month,No,No,37,19256.35,7702.54,962.8175,6.37,27433000,14.89,10.9,6.07,19.2,19.9,1,Graduation
Male,0,No,Yes,Month-to-month,Yes,No,37,19935.24815,7974.099261,996.7624075,6.57,31881500,14.91,11.23,6.3,19.2,19.9,1,Graduation
Female,0,Yes,Yes,Month-to-month,Yes,No,38,21982.25,8792.9,1099.1125,6.56,16513200,14.93,11.66,6.34,19.2,19.9,1,Graduation
Female,0,Yes,Yes,One year,Yes,No,38,22793.61188,9117.444753,1139.680594,6.89,24101200,14.93,11.7749995,6.44,19.25,19.9,1,Graduation
Male,0,No,Yes,One year,No,Yes,38,23256.57,9302.628,1162.8285,6.63,16226500,14.95,11.81,6.29,19.25,19.95,1,Graduation
Male,0,No,Yes,Month-to-month,No,No,38,25625.62,10250.248,1281.281,39.300001,3880200,14.98750025,11.82,6.4183335,19.25,19.95,1,Graduation
Female,0,Yes,Yes,Two year,Yes,No,38,25625.75,10250.3,1281.2875,6.55,20207300,15.07,11.87,6.36,19.25,20,1,Graduation
Male,0,No,Yes,One year,Yes,No,38,26351.54003,10540.61601,1317.577002,6.6,14836600,15.14,12.11,6.39,19.25,20,1,Graduation
Female,0,No,Yes,Month-to-month,No,No,38,26785.89,10714.356,1339.2945,6.55,28504300,15.24,12.16,6.27,19.25,20,1,Graduation
Female,0,No,Yes,One year,No,No,38,27852.13,11140.852,1392.6065,39.52,3784200,15.4,12.21,6.505000167,19.25,20.05,1,Graduation
Female,0,Yes,Yes,Two year,No,No,38,28591.25,11436.5,1429.5625,40.7,5639400,15.43,12.14,6.5033335,19.25,20.05,1,Graduation
Male,0,No,Yes,Month-to-month,No,No,45,29676.95133,11870.78053,1483.847567,40.669999,5320200,15.49,11.98,6.618333333,19.25,20.05,1,Graduation
Female,0,No,Yes,Two year,Yes,No,38,30891.85,12356.74,1544.5925,40.349999,2509200,15.69,12.25,6.651666667,19.25,20.05,1,Graduation
Female,0,No,Yes,Month-to-month,Yes,Yes,38,32654.78,13061.912,1632.739,40.309999,1963800,15.73,12.75863118,6.619999833,19.25,20.05,1,Graduation
Female,1,No,No,Month-to-month,Yes,No,38,34852.95,13941.18,1742.6475,40.34,3038400,15.78,12.79,6.546666667,19.25,20.1,1,Graduation
Male,0,Yes,Yes,Month-to-month,Yes,No,38,36258.40251,14503.361,1812.920126,40.520001,2890800,16.0949995,12.43,6.673333167,19.3,20.1,1,Graduation
Male,0,No,Yes,One year,No,No,38,36966.16345,14786.46538,1848.308173,40.97,3721800,16.15,12.45128486,6.698333333,19.3,20.15,1,Graduation
Female,0,No,Yes,Month-to-month,No,Yes,38,38048.29227,15219.31691,1902.414614,40.94,3732600,16.253334,12.30564929,6.683333333,19.3,20.15,1,Graduation
Female,0,Yes,Yes,Two year,No,No,38,38583.98515,15433.59406,1929.199258,6.94,29510700,16.28000075,12.41,6.51,19.3,20.15,1,Graduation
Male,0,No,Yes,Month-to-month,Yes,Yes,38,39082.68839,15633.07536,1954.13442,7.24,8729100,16.28499975,12.67135325,6.98,19.3,20.15,1,Graduation
Male,1,No,Yes,Month-to-month,Yes,Yes,38,39087.13835,15634.85534,1954.356918,51.849998,13031200,16.309999,12.80316344,7.232857286,19.3,20.15,1,Graduation
Female,0,No,Yes,One year,No,No,39,39148.82599,15659.53039,1957.4413,7.47,5290500,16.3500005,13.17,7.22,19.3,20.15,1,Graduation
Male,1,No,Yes,Month-to-month,Yes,No,39,39159.43054,15663.77221,1957.971527,7.3,6480800,16.360001,13.01,7.08,19.3,20.2,1,Graduation
Male,0,No,Yes,Two year,Yes,No,39,40349.95804,16139.98321,2017.497902,7.45,3504500,16.469999,12.69,7.19,19.3,20.2,1,Graduation
Male,0,No,Yes,Month-to-month,Yes,Yes,39,40556.56278,16222.62511,2027.828139,53.710001,23290400,16.496666,13.33,7.197143143,19.3,20.2,1,Graduation
Female,0,No,Yes,Two year,Yes,No,39,40619.95794,16247.98318,2030.997897,7.45,6202400,16.5149995,13.55,7.19,19.3,20.2,1,Graduation
Male,0,Yes,No,Two year,No,No,39,40987.21217,16394.88487,2049.360609,7.46,11506600,16.58,13.34749975,7.14,19.3,20.2,1,Graduation
Female,0,No,Yes,Month-to-month,No,Yes,39,41142.74268,16457.09707,2057.137134,7.46,5586100,16.58,13.28499975,7.32,19.3,20.2,1,Graduation
Male,0,No,No,Month-to-month,Yes,No,39,41166.75408,16466.70163,2058.337704,7.41,4630700,16.68000033,13.335,7.23,19.3,20.25,1,Graduation
Male,1,No,No,Month-to-month,No,No,39,41488.99259,16595.59703,2074.44963,7.62,4444300,16.68189945,13.2875005,7.4,19.3,20.25,1,Graduation
Male,0,Yes,Yes,Month-to-month,Yes,No,39,42015.65788,16806.26315,2100.782894,54.199999,8180900,16.74,13.9849995,7.465714429,19.3,20.25,1,Graduation
Male,0,No,Yes,Month-to-month,Yes,No,39,42029.389,16811.7556,2101.46945,53.029999,17685500,16.74333367,13.2325,7.27,19.3,20.25,1,Graduation
Male,0,Yes,Yes,Month-to-month,Yes,No,39,42155.20449,16862.08179,2107.760225,53.08,6330100,16.75,13.19499975,7.451428429,19.35,20.25,1,Graduation
Male,1,No,Yes,Month-to-month,Yes,No,39,42300.98367,16920.39347,2115.049184,7.54,6134700,16.83,13.11,7.41,19.35,20.3,1,Graduation
Male,0,Yes,Yes,Month-to-month,No,Yes,40,42369.8859,16947.95436,2118.494295,54.280001,14422100,16.85,13.34000025,7.558571286,19.35,20.3,1,Graduation
Female,0,Yes,Yes,Two year,No,No,40,42718.45655,17087.38262,2135.922828,7.68,2532300,16.9,13.67,7.55,19.35,20.35,1,Graduation
Female,0,Yes,No,Two year,Yes,No,40,42790.26677,17116.10671,2139.513339,7.64,1730500,16.93,13.65,7.56,19.35,20.35,1,Graduation
Female,0,No,Yes,Month-to-month,Yes,No,40,42986.36529,17194.54612,2149.318265,53.599998,23753100,16.97777733,13.95,7.258571571,19.35,20.4,1,Graduation
Male,0,No,Yes,One year,No,Yes,40,43176.98315,17270.79326,2158.849158,53.929999,6783700,17.02000033,13.77,7.528571571,19.35,20.4,1,Graduation
Male,1,Yes,Yes,Month-to-month,Yes,No,40,43251.16307,17300.46523,2162.558154,7.66,5446400,17.06999975,13.27,7.46,19.35,20.4,1,Graduation
Male,0,No,Yes,Month-to-month,No,No,40,43360.17038,17344.06815,2168.008519,7.67,1925100,17.11333267,14.08,7.6,19.35,20.45,1,Graduation
Female,0,Yes,Yes,Two year,No,No,40,43796.55816,17518.62326,2189.827908,54.300001,9955400,17.16,13.82,7.462857286,19.35,20.45,1,Graduation
Female,1,No,Yes,Month-to-month,Yes,Yes,40,43961.61324,17584.64529,2198.080662,7.75,2558500,17.25,13.62,7.65,19.35,20.45,1,Graduation
Male,0,No,Yes,One year,Yes,No,40,44276.49008,17710.59603,2213.824504,7.83,3564600,17.68,13.56,7.62,19.35,20.45,1,Graduation
Female,0,No,No,Month-to-month,No,No,40,44316.30862,17726.52345,2215.815431,7.86,4383900,18.040001,13.8999995,7.76,19.35,20.45,1,Graduation
Male,0,No,Yes,One year,Yes,No,40,44345.31312,17738.12525,2217.265656,8,4030400,18.48,13.8100005,7.86,19.35,NA,1,Graduation
Female,1,No,Yes,Month-to-month,Yes,Yes,40,44362.75098,17745.10039,2218.137549,55.73,17239600,18.549999,14.15,7.565714429,19.35,20.5,1,Graduation
Male,0,No,Yes,Two year,No,No,40,44526.02952,17810.41181,2226.301476,8.02,3272900,18.82250025,13.955,7.86,19.35,20.5,1,Graduation
Male,1,No,Yes,Month-to-month,Yes,Yes,40,44544.0218,17817.60872,2227.20109,7.99,4075600,18.950001,14.04,7.79,19.35,20.55,1,Graduation
Female,1,No,Yes,Month-to-month,Yes,Yes,40,44611.64585,17844.65834,2230.582293,11.100003,1566800,19.1,14.13,8.1756097,19.35,20.65,1,PG
Female,0,Yes,No,Month-to-month,Yes,Yes,40,44637.39251,17854.957,2231.869626,11.749998,2885100,19.1499995,14.17,8.1756097,19.35,20.7,1,PG
Female,0,No,Yes,Two year,Yes,No,40,45054.87631,18021.95052,2252.743816,8.62,11880200,19.18,14.3,8.51,19.4,20.75,1,PG
Female,0,No,Yes,One year,Yes,No,41,45213.33237,18085.33295,2260.666619,8.76,13472700,19.18,14.09,8.47,19.4,20.75,1,PG
Male,0,No,Yes,One year,No,No,41,45329.69053,18131.87621,2266.484527,8.64,6482500,19.200001,14.03,8.51,19.4,20.8,1,PG
Male,0,Yes,Yes,Month-to-month,No,No,41,45463.60342,18185.44137,2273.180171,8.84,13900400,19.24909676,14.16,8.57,19.4,20.9,1,PG
Male,1,No,Yes,Two year,Yes,No,41,46020.01376,18408.0055,2301.000688,8.65,8579300,19.3999996,14.27,8.56,19.4,20.9,1,PG
Female,0,No,Yes,Month-to-month,No,Yes,41,46050.86187,18420.34475,2302.543094,11.200005,4088100,19.6,14.34628887,8.098480571,19.4,20.9,1,PG
Female,0,No,Yes,Month-to-month,Yes,Yes,41,46727.15909,18690.86363,2336.357955,8.67,6941700,20.059999,14.1099995,8.54,19.4,20.95,1,PG
Male,0,No,Yes,Two year,Yes,No,41,46970.1912,18788.07648,2348.50956,8.91,18706200,20.23,14.54946996,8.68,19.4,20.95,1,PG
Female,0,No,Yes,One year,No,No,41,47243.0971,18897.23884,2362.154855,36.939999,3052800,20.24,15.75,8.6899995,19.4,21,1,PG
Female,0,No,Yes,Month-to-month,No,No,41,47608.34851,19043.3394,2380.417426,35.279999,1802400,20.25,15.09,8.6000005,19.4,21.05,1,PG
Female,0,No,Yes,Month-to-month,Yes,Yes,41,47621.52857,19048.61143,2381.076429,36.200001,1866800,20.26,15.35,8.7524995,19.4,21.1,1,PG
Male,0,No,Yes,Month-to-month,Yes,Yes,41,47647.35545,19058.94218,2382.367773,8.89,11527200,20.29332933,15.31,8.79,19.4,24,2,PG
Male,0,No,Yes,Two year,Yes,No,41,47695.00799,19078.0032,2384.7504,9.13,14332300,20.66,15.19999975,8.78,19.4,24.05,2,PG
Female,0,Yes,Yes,Month-to-month,No,No,41,48071.75632,19228.70253,2403.587816,8.97,11117400,20.799999,14.78,8.81,19.4,24.25,2,PG
Male,1,No,Yes,Month-to-month,Yes,No,41,48081.73044,19232.69218,2404.086522,9,9249700,20.799999,15.51249975,8.85,19.4,24.4,2,PG
Female,0,Yes,Yes,Month-to-month,Yes,Yes,41,48161.38047,19264.55219,2408.069024,12.200001,2315000,20.870001,15.1274995,8.916040384,19.4,24.4,2,PG
Male,0,No,Yes,Month-to-month,Yes,No,41,48385.07026,19354.0281,2419.253513,9.13,18894400,20.91,15.4,8.93,19.4,24.45,2,PG
Female,0,Yes,Yes,Two year,No,No,41,48390.39438,19356.15775,2419.519719,35.950001,2324000,20.940001,15.94,8.7124995,19.4,24.6,2,PG
Female,1,No,Yes,Month-to-month,Yes,Yes,41,48452.77942,19381.11177,2422.638971,9,1102000,20.959999,15.66,8.87,19.4,24.75,2,PG
Female,0,No,Yes,One year,Yes,No,41,48811.05126,19524.42051,2440.552563,9.1,8594200,21.360001,15.83,8.94,19.4,24.8,2,PG
Female,1,No,Yes,Month-to-month,Yes,Yes,41,48892.60518,19557.04207,2444.630259,9.15,1683000,21.459999,16.46397598,8.91,19.4,24.8,2,PG
Male,0,No,Yes,Month-to-month,No,No,41,49076.09704,,2453.804852,11.940006,2997000,21.51,16.26,8.646089592,19.4,25,2,PG
Male,0,Yes,Yes,Two year,No,No,42,49294.09553,,2464.704777,9.28,14009600,21.9,15.92,8.98,19.4,25.05,2,PG
Female,0,No,Yes,One year,Yes,No,42,49346.69135,,2467.334568,37.200001,1736400,21.915001,15.93,8.9975005,19.4,25.1,2,PG
Male,0,Yes,Yes,Month-to-month,Yes,Yes,42,49359.76469,,2467.988235,36.860001,2457600,21.9174995,16.040001,8.8100005,19.4,25.1,2,PG
Male,0,Yes,Yes,Two year,Yes,No,42,49372.31057,,2468.615529,37.139999,2994000,22,16.51,9.05000025,19.45,25.15,2,PG
Male,0,No,No,Two year,Yes,No,42,49440.90658,,2472.045329,9.28,12923000,22.02,16.30249975,8.99,19.45,25.15,2,PG
Male,0,Yes,Yes,One year,No,No,42,49492.58316,,2474.629158,9.16,8951500,22.15,16.65,9,19.45,25.2,2,PG
Female,0,Yes,Yes,Month-to-month,No,No,42,49513.92593,,2475.696297,37.599998,1442000,22.209999,16.370001,8.98750025,19.45,25.2,2,PG
Female,0,No,Yes,Month-to-month,Yes,No,42,49522.33256,,2476.116628,9.52,20174500,22.219999,16.416666,9.09,19.45,25.25,2,PG
Male,0,Yes,Yes,Two year,No,No,42,49599.97686,,2479.998843,37.68,2887200,22.309999,16.440001,9.04,19.45,25.25,2,PG
Female,0,No,Yes,Month-to-month,No,Yes,42,49620.03534,,2481.001767,9.21,3644500,22.360001,16.44333267,8.85,19.45,25.25,2,PG
Female,0,Yes,Yes,Month-to-month,Yes,No,42,49722.22242,,2486.111121,9.19,10789600,22.4225005,16.77,8.99,19.45,25.35,2,PG
Female,0,Yes,Yes,One year,Yes,No,42,49949.11079,,2497.45554,36.779999,2452800,22.49,16.46666733,8.9125005,19.45,25.4,2,PG
Male,1,No,Yes,Month-to-month,Yes,No,42,50098.84397,,2504.942199,9.24,15365800,22.549999,16.68,9.04,19.45,25.7,2,PG
Male,0,No,No,One year,Yes,No,42,50405.21287,,2520.260644,12.099999,4165100,22.6,16.69903015,9.093429435,19.45,25.75,2,PG
Female,0,Yes,Yes,Month-to-month,No,No,42,50409.97121,,2520.498561,12.099999,3865300,22.635,16.969999,8.599809493,19.45,25.8,2,PG
Male,0,No,Yes,One year,No,No,42,50806.60095,,2540.330048,13.000004,5030100,22.7199995,16.836666,9.101149984,19.45,27.55,2,PG
Female,1,No,Yes,Month-to-month,Yes,Yes,42,50938.79543,,2546.939772,9.32,1666600,22.78189094,16.75,8.97,19.45,28.3,2,PG
Female,0,Yes,Yes,Month-to-month,No,Yes,42,51076.8969,,2553.844845,37.77,1028400,22.8,17.19378062,9.30249975,19.45,29.15,2,PG
Male,0,No,Yes,Month-to-month,No,Yes,42,51080.49092,,2554.024546,12.949997,2199300,22.93,16.67,9.155139834,19.45,29.85,2,PG
Female,1,No,Yes,One year,No,No,42,51087.80513,,2554.390257,9.62,14560200,22.950001,17,9.41,19.45,29.9,2,PG
Male,0,No,Yes,Month-to-month,Yes,Yes,42,51338.70016,,2566.935008,38.220001,1298800,23.1000005,17.6949995,9.44750025,19.45,29.95,2,PG
Male,0,No,Yes,Month-to-month,Yes,No,43,51601.62583,,2580.081292,9.5,16701400,23.120001,16.92,9.24,19.45,30.2,2,PG
Female,0,No,Yes,Month-to-month,Yes,Yes,43,51641.14375,20656.4575,2582.057188,38.310001,1304800,23.2199995,16.74,9.5,19.45,30.55,2,PG
Female,0,No,Yes,One year,No,No,43,51815.12953,20726.05181,2590.756477,12.349997,2168300,23.25,17.1,8.962320484,19.45,31.35,2,PG
Female,0,No,Yes,Month-to-month,Yes,Yes,43,51976.94617,20790.77847,2598.847309,38.630001,1262800,23.450001,16.860001,9.5,19.45,31.55,2,PG
Female,0,No,Yes,Month-to-month,Yes,No,43,51994.43388,20797.77355,2599.721694,38.349998,2227200,23.49,16.85000033,9.4425,19.45,31.9,2,PG
Male,0,Yes,Yes,Two year,No,Yes,43,52103.81853,20841.52741,2605.190927,9.65,1570800,23.575001,16.860001,9.29,19.5,33.6,2,PG
Female,0,Yes,Yes,Two year,No,No,43,52130.15956,20852.06383,2606.507978,38.57,2705200,23.6,16.90333367,9.5249995,19.5,33.6,2,PG
Female,0,No,Yes,Month-to-month,Yes,No,43,52146.45868,20858.58347,2607.322934,38.77,2583200,23.70572162,17.17,9.5375005,19.5,33.7,2,PG
Female,0,No,Yes,Month-to-month,No,Yes,43,52260.97204,20904.38882,2613.048602,38.990002,1285600,23.75,17.299999,9.6450005,19.5,34.7,3,PG
Male,0,No,Yes,Month-to-month,Yes,No,43,52273.5554,20909.42216,2613.67777,38.779999,1430000,23.799999,17.26666622,9.5874995,19.5,34.75,3,PG
Male,0,No,Yes,Month-to-month,Yes,No,43,52365.50383,20946.20153,2618.275192,23.059999,64256300,23.8199995,16.91955942,9.309763468,19.5,34.8,3,PG
Female,0,No,Yes,Month-to-month,Yes,No,43,52537.01303,21014.80521,2626.850652,38.790001,1252800,23.85,17.51,9.6000005,19.5,35.25,3,PG
Male,1,No,Yes,One year,Yes,No,43,52582.66643,21033.06657,2629.133322,19.83,968400,23.9400005,17.57777778,9.675,19.5,35.45,3,PG
Female,0,Yes,Yes,Month-to-month,Yes,Yes,43,52610.81129,21044.32452,2630.540565,23.64,30484000,24.110001,17.709999,9.722222222,19.5,35.55,3,PG
Female,1,No,Yes,Two year,Yes,No,43,52663.98868,21065.59547,2633.199434,9.85,1399000,24.18,17.889999,9.52,19.5,35.75,3,PG
Female,0,Yes,Yes,Two year,No,No,44,52720.69747,21088.27899,2636.034874,19.83,709200,24.190001,17.07250025,9.74,19.5,35.9,3,PG
Female,0,No,Yes,Two year,No,No,44,52721.18446,21088.47379,2636.059223,23.629998,24620500,24.299999,17.42078079,9.726430556,19.5,35.9,3,Graduation
Male,0,No,Yes,Month-to-month,Yes,No,44,52743.92148,21097.56859,2637.196074,20.23,1656200,24.43,18,9.76,19.5,36.55,3,Graduation
Male,0,No,Yes,Month-to-month,No,Yes,44,52767.20902,21106.88361,2638.360451,23.44,25572100,24.440001,18,9.663299242,19.5,36.8,3,Graduation
Male,0,No,Yes,Month-to-month,Yes,No,44,52788.46023,21115.38409,2639.423012,9.98,2052800,24.465,17.809999,9.73,19.5,37.2,3,Graduation
Male,0,No,Yes,Two year,Yes,No,44,53004.22096,21201.68838,2650.211048,10.22,15429100,24.52,18.040001,9.81,19.5,38,3,Graduation
Female,0,No,Yes,Two year,No,No,44,53014.21792,21205.68717,2650.710896,23.49,25220000,24.58,18.21789883,9.751683081,19.5,38.15,3,Graduation
Male,0,Yes,Yes,Two year,Yes,No,44,53051.87244,21220.74897,2652.593622,23.5,42094100,24.66,18.0200005,9.617002946,19.5,38.45,3,Graduation
Female,0,Yes,Yes,Month-to-month,Yes,No,44,53054.03621,21221.61449,2652.701811,9.97,1072900,24.719999,17.67,9.69,19.5,38.7,3,Graduation
Female,0,Yes,Yes,Month-to-month,Yes,No,44,53060.77283,21224.30913,2653.038642,23.75,18331000,24.77,17.969999,9.785353535,19.5,NA,3,Graduation
Female,0,No,Yes,Month-to-month,No,No,44,53183.84529,21273.53812,2659.192265,20.139999,748400,24.82,18.4,9.8950005,19.5,39.65,3,Graduation
Male,0,No,Yes,Month-to-month,No,No,44,53294.89336,21317.95734,2664.744668,10.13,1692500,24.8449995,17.99999922,9.79,19.5,39.85,3,Graduation
Male,1,No,Yes,Two year,Yes,No,44,53310.38699,21324.1548,2665.51935,23.8,26368600,24.92696787,17.9844358,9.865319865,19.55,40.1,3,Graduation
Male,1,Yes,Yes,Month-to-month,Yes,Yes,44,53311.30543,21324.52217,2665.565272,10.4,12700700,25.030001,17.719999,9.93,19.55,40.2,3,Graduation
Female,0,No,Yes,Month-to-month,No,No,44,53331.46327,21332.58531,2666.573164,19.959999,1031200,25.219999,18.469999,9.8450005,19.55,40.9,3,Graduation
